sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,15,0,1,1,1,1,4,4,1,0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5
0,16,1,1,1,3,4,3,4,2,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5
1,16,1,1,1,4,4,2,2,3,0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5
1,18,0,0,1,3,3,4,2,2,0,1,2,1,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,3,5,5
0,17,0,1,1,1,2,4,4,2,0,1,1,0,0,0,0,1,1,1,1,0,3,5,5,1,3,1,14,6,5,5
1,18,0,1,1,4,2,4,4,0,1,2,1,1,0,0,1,0,1,1,0,0,5,4,3,4,3,3,14,6,5,5
0,18,1,1,0,4,4,3,0,2,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5,6,6
0,17,1,1,1,1,1,3,4,2,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5,5,6
0,17,1,1,0,4,4,4,0,0,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,6,5,6
0,15,1,1,1,2,3,4,4,3,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6
0,15,1,0,0,4,3,4,4,2,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6
0,16,1,1,1,3,1,2,4,2,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6
0,15,1,0,1,3,2,2,4,1,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6
0,16,1,0,1,2,2,3,4,2,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6
0,16,1,0,1,3,1,4,4,0,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6
0,15,1,1,1,3,2,2,4,0,0,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6
1,17,1,1,1,3,3,4,4,1,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,6,5,6
0,17,0,1,1,2,2,4,4,1,0,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,7,6,6
0,17,0,1,1,2,1,3,2,1,0,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,6,6,6
1,16,1,0,1,1,1,4,4,0,0,2,2,0,0,1,1,0,1,1,1,0,3,4,2,1,1,5,18,9,7,6
0,18,0,1,1,4,4,0,3,1,0,3,1,0,0,1,1,1,1,1,1,1,4,4,3,2,2,5,7,6,5,6
0,15,1,1,1,4,4,2,0,3,1,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7
1,16,1,0,0,4,4,0,1,1,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7
1,15,0,1,1,3,2,4,4,2,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,5,9,7
1,17,0,0,1,1,1,4,2,2,0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,5,8,7
0,16,1,1,0,3,1,2,4,2,0,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,7,7,7
0,17,0,1,1,4,3,0,4,1,0,2,3,0,0,1,1,1,1,1,1,1,4,4,2,1,1,4,6,7,7,7
0,18,0,1,1,3,1,4,4,1,0,1,2,1,0,0,0,1,1,1,1,1,5,3,3,1,1,4,16,9,8,7
1,18,0,1,1,2,1,4,4,3,0,2,1,0,0,0,0,1,0,1,1,1,4,4,3,1,3,5,5,7,6,7
1,21,0,1,1,1,1,4,4,2,2,1,1,3,0,0,0,0,0,1,0,0,5,5,3,3,3,3,3,10,8,7
0,15,0,1,1,2,4,2,1,2,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8
0,16,1,1,1,2,2,2,2,0,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8
0,15,0,0,1,2,2,1,2,1,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8
0,15,1,1,1,4,4,2,2,1,1,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8
0,16,1,1,1,3,3,4,4,0,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8
0,16,1,1,1,4,3,4,3,2,0,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8
0,15,1,1,1,2,2,4,4,2,0,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8
0,16,1,1,1,2,2,4,4,0,0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8
1,15,0,1,1,2,3,3,2,2,0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,11,8,8
1,16,1,1,1,4,3,0,4,0,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,8
0,17,1,0,1,3,3,4,4,1,0,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,8
1,17,1,1,1,1,2,3,2,3,2,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8,8
0,19,1,1,1,3,3,4,4,1,2,1,4,0,0,1,1,1,1,1,1,0,4,3,3,1,2,3,10,8,8,8
1,18,1,1,1,2,2,2,4,0,0,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,6,7,8
1,18,1,0,1,3,3,2,1,0,1,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,6,6,8
0,17,1,1,1,2,3,3,4,0,1,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,7,7,8
1,22,1,1,1,3,1,2,2,3,0,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8,8
1,18,1,1,1,3,2,2,4,2,0,2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0,6,8,8
1,18,1,1,1,2,1,2,2,3,0,1,1,1,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4,6,9,8
1,16,0,1,1,2,1,4,4,2,0,2,1,0,0,0,0,1,0,1,0,0,3,3,2,1,3,3,0,8,9,8
1,17,1,0,1,1,1,1,4,2,0,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,2,7,9,8
1,18,1,1,1,4,3,0,4,2,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2,8,8,8
0,18,1,1,1,4,4,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,9,8,8
1,17,1,0,0,4,1,2,4,0,0,2,1,0,0,0,1,1,1,1,1,1,4,5,4,2,4,5,30,8,8,8
0,18,1,0,1,4,3,4,4,0,2,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10,10,8,8
1,19,1,1,1,4,4,0,2,1,2,2,1,1,0,1,1,0,1,1,1,1,4,3,4,1,1,4,38,8,9,8
1,18,1,0,1,2,2,4,4,2,0,1,4,0,0,1,0,1,1,1,1,0,4,5,5,2,4,5,2,9,8,8
1,19,0,1,1,1,1,4,2,0,2,3,2,3,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,8,7,8
1,18,1,0,1,1,3,3,2,2,0,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7,8,7,8
1,19,0,1,1,1,1,4,4,0,2,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,8,8,8
